City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Oirschot,NL,71.22,overcast clouds,51.505,5.3139,Het Groene Bed Oirschot
324,Maragogi,BR,76.51,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
325,Puerto Ayacucho,VE,79.77,light rain,5.6639,-67.6236,Posada Turistica Manapiare
326,Barra Do Garcas,BR,77.38,clear sky,-15.89,-52.2567,Pousada Tropical
327,San Felipe,VE,77.4,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
328,Khash,IR,78.66,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
330,Yenagoa,NG,73.51,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
332,Cascais,PT,77.5,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
333,Sur,OM,84.78,broken clouds,22.5667,59.5289,Sur Plaza Hotel
336,Bandarbeyla,SO,75.29,few clouds,9.4942,50.8122,JABIR HOTEL
339,Gazanjyk,TM,82.06,clear sky,39.2446,55.5154,Railway motel
340,Itarema,BR,78.8,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
342,Tshikapa,CD,76.05,clear sky,-6.4167,20.8,Tatem beach
343,Alta Floresta,BR,80.46,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
344,Polohy,UA,70.32,scattered clouds,47.4844,36.2536,Oven
347,Tutoia,BR,80.31,overcast clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
348,Pokhara,NP,71.91,moderate rain,28.2333,83.9833,OYO 170 Hotel View Point
350,Phalodi,IN,83.46,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
351,Muisne,EC,75.83,overcast clouds,0.6,-80.0333,Quinta Samay
353,Benjamin Constant,BR,87.93,few clouds,-4.3831,-70.0311,CASA AVALIADA
355,Paragominas,BR,78.01,broken clouds,-2.9667,-47.4833,INOVA
356,Sao Francisco,BR,76.28,clear sky,-15.9486,-44.8644,Pousada Peixe Vivo
357,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
358,Brokopondo,SR,78.24,scattered clouds,4.75,-55.1667,Matu Island
360,Marzuq,YE,79.59,light rain,14.4,46.4667,
361,Gan Yavne,IL,80.42,scattered clouds,31.7874,34.7066,קסם הרימון
362,Hampton,US,89.02,clear sky,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
363,Nassau,US,89.83,broken clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
364,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
365,Chabahar,IR,81.43,broken clouds,25.2919,60.643,هتل گدروشیا
367,Bordighera,IT,82.15,clear sky,43.7806,7.6645,Hotel Villa Elisa & Spa
374,Tekkali,IN,80.28,overcast clouds,18.6167,84.2333,Spoorthi function hall
378,Puerto Del Rosario,ES,74.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
383,Pirenopolis,BR,75.69,clear sky,-15.8525,-48.9592,Mandala dos Pirineus Eco Village
385,Mandera,KE,78.51,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
387,Oum Hadjer,TD,83.55,overcast clouds,13.2954,19.6966,
389,Ormara,PK,80.96,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
393,Porto Walter,BR,84.67,broken clouds,-8.2686,-72.7439,Hotel Silva
395,Kutum,SD,76.48,moderate rain,14.2,24.6667,Dibbo areaمنطقة دبو
396,Lejanias,CO,74.43,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
400,Asandh,IN,79.95,heavy intensity rain,29.5167,76.6,Star net computer centre
401,Ascension,US,87.01,clear sky,30.2169,-90.9001,Highland Inn
402,Maiduguri,NG,72.43,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
404,Dhidhdhoo,MV,80.53,overcast clouds,6.8833,73.1,Dhidhoo beach
405,Lethem,GY,75.25,overcast clouds,3.3803,-59.7968,Savannah Inn
406,Minab,IR,88.12,overcast clouds,27.1467,57.0801,Bam campground
408,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
411,Umm Kaddadah,SD,87.12,scattered clouds,13.6017,26.6876,
414,Hambantota,LK,79.07,overcast clouds,6.1241,81.1185,Bungalow 63
415,Kindu,CD,72.07,light rain,-2.95,25.95,Résidence Okanda
