City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
189,Pembroke,45.8168,-77.1162,75.18,54,75,5.84,CA,broken clouds
190,Chimoio,-19.1164,33.4833,57.06,88,0,1.83,MZ,clear sky
191,Wagar,16.1525,36.2032,88.43,49,100,17.2,SD,overcast clouds
192,Banikoara,11.2985,2.4386,78.57,74,100,4.09,BJ,overcast clouds
193,Mbour,14.422,-16.9638,83.25,75,80,12.21,SN,light rain
194,Cabedelo,-6.9811,-34.8339,74.07,91,100,10.4,BR,light rain
195,Maceio,-9.6658,-35.7353,76.44,94,75,4.61,BR,broken clouds
196,Nokaneng,-19.6667,22.2667,61.12,24,0,6.51,BW,clear sky
197,Nezhinka,51.7676,55.3694,64.56,82,0,7.0,RU,clear sky
198,Mocuba,-16.8392,36.9856,62.13,96,25,1.92,MZ,scattered clouds
199,Somotillo,13.0433,-86.9064,95.14,54,45,8.43,NI,scattered clouds
200,Colares,38.7992,-9.4469,77.32,52,0,9.86,PT,clear sky
201,Eskisehir,39.7767,30.5206,67.87,77,0,6.91,TR,clear sky
202,Aswan,24.0934,32.907,89.82,18,2,10.09,EG,clear sky
203,Saldanha,-33.0117,17.9442,51.87,80,15,9.37,ZA,few clouds
204,Chelno-Vershiny,54.4333,51.1,66.0,64,93,4.0,RU,overcast clouds
205,Diplo,24.4667,69.584,82.02,77,66,17.31,PK,broken clouds
206,Ipameri,-17.7219,-48.1597,71.24,41,14,5.21,BR,few clouds
207,Takoradi,4.8845,-1.7554,74.23,82,66,10.4,GH,broken clouds
208,Wajir,1.7471,40.0573,78.21,55,84,20.51,KE,broken clouds
209,Ponta Delgada,37.7333,-25.6667,72.32,83,20,5.75,PT,few clouds
210,Bubaque,11.2833,-15.8333,79.29,77,91,15.64,GW,overcast clouds
211,Hofn,64.2539,-15.2082,51.15,62,99,6.44,IS,overcast clouds
212,Jacareacanga,-6.2222,-57.7528,85.1,41,89,1.07,BR,overcast clouds
213,Taltal,-25.4,-70.4833,57.78,79,90,4.56,CL,overcast clouds
214,Salinopolis,-0.6136,-47.3561,80.17,80,94,11.16,BR,overcast clouds
215,Horqueta,-23.3428,-57.0597,63.07,25,2,2.21,PY,clear sky
216,Kanash,55.5086,47.4956,57.99,93,22,6.82,RU,few clouds
217,Nuristan,35.3,70.8333,48.29,62,2,6.35,AF,clear sky
218,Tenkasi,8.956,77.3058,76.62,91,37,6.33,IN,scattered clouds
219,Manta,-0.95,-80.7333,76.78,83,100,10.36,EC,overcast clouds
220,Oktyabrskoye,43.0645,44.7417,62.74,88,98,6.71,RU,light rain
221,Hoopstad,-27.8327,25.9083,49.15,36,43,6.98,ZA,scattered clouds
222,Cajamarca,-7.1638,-78.5003,69.87,32,0,8.05,PE,clear sky
223,Damghan,36.1683,54.348,74.95,46,0,1.66,IR,clear sky
224,Klaksvik,62.2266,-6.589,50.92,87,90,8.63,FO,overcast clouds
225,Vila Velha,-20.3297,-40.2925,71.55,68,75,11.5,BR,broken clouds
226,Pangody,65.85,74.4859,48.97,68,0,15.03,RU,clear sky
227,Marrakesh,31.6315,-8.0083,93.27,31,40,3.44,MA,scattered clouds
228,Carnarvon,-24.8667,113.6333,59.23,58,73,14.0,AU,broken clouds
229,Pala,9.3642,14.9046,71.6,88,100,5.21,TD,overcast clouds
230,Goderich,43.7501,-81.7165,73.9,64,6,6.78,CA,clear sky
231,Atlantic City,39.3643,-74.4229,90.01,41,0,9.22,US,clear sky
232,Paveh,35.0434,46.3565,74.52,17,1,2.24,IR,clear sky
233,Augusto Correa,-1.0217,-46.635,77.56,85,71,5.08,BR,broken clouds
234,Jacqueville,5.2052,-4.4146,75.79,84,81,12.59,CI,broken clouds
235,Trinidad,-14.8333,-64.9,77.83,40,6,3.33,BO,clear sky
236,La Asuncion,11.0333,-63.8628,83.93,79,40,3.44,VE,scattered clouds
237,Morbegno,46.1383,9.57,72.37,70,3,7.52,IT,clear sky
238,Hundested,55.9667,11.8667,63.21,78,70,12.06,DK,broken clouds
239,Szank,46.5571,19.661,69.85,73,34,10.74,HU,scattered clouds
240,Moron,-34.6534,-58.6198,61.97,60,29,4.92,AR,scattered clouds
241,Korla,41.7597,86.1469,74.59,41,6,6.93,CN,clear sky
242,Lukovetskiy,64.2956,41.9211,55.85,98,81,4.03,RU,broken clouds
243,Kosh-Agach,50.0,88.6667,50.16,77,95,1.95,RU,overcast clouds
244,Buraydah,26.326,43.975,90.77,35,99,8.84,SA,overcast clouds
245,Beloha,-25.1667,45.05,66.92,75,88,3.71,MG,overcast clouds
246,Thompson,55.7435,-97.8558,70.05,30,100,9.62,CA,overcast clouds
247,Hobyo,5.3505,48.5268,75.54,87,59,27.22,SO,broken clouds
248,Bardiyah,31.7561,25.0865,78.15,75,0,16.69,LY,clear sky
249,Ecoporanga,-18.3733,-40.8306,70.3,81,3,11.16,BR,clear sky
250,Porto Novo,6.4965,2.6036,75.36,81,71,9.66,BJ,broken clouds
251,Strai,58.2,7.9,58.64,82,78,4.61,NO,broken clouds
252,Bambous Virieux,-20.3428,57.7575,70.21,73,40,16.11,MU,scattered clouds
253,Olinda,-8.0089,-34.8553,74.93,88,100,5.75,BR,moderate rain
254,Springfield,37.2153,-93.2982,70.92,93,100,13.8,US,overcast clouds
255,Taoudenni,22.6783,-3.9836,100.06,23,87,6.98,ML,overcast clouds
256,Catalina,32.5056,-110.9211,89.2,41,55,5.53,US,light rain
257,Mgandu,-5.95,34.1333,66.31,60,98,8.75,TZ,overcast clouds
258,Abu Dhabi,24.4667,54.3667,91.51,64,0,5.75,AE,clear sky
259,Mabaruma,8.2,-59.7833,76.57,96,68,4.09,GY,broken clouds
260,Kontagora,10.3999,5.4695,72.3,93,99,3.65,NG,light rain
261,Faya,18.3851,42.4509,66.72,53,44,3.44,SA,scattered clouds
262,Chicama,-7.8447,-79.1469,61.34,72,31,9.17,PE,scattered clouds
263,Strezhevoy,60.7333,77.5889,61.56,94,100,8.32,RU,overcast clouds
264,Artigas,-30.4,-56.4667,51.85,75,1,4.94,UY,clear sky
265,Opuwo,-18.0607,13.84,57.38,40,3,5.53,NA,clear sky
266,Upata,8.0086,-62.3989,74.57,92,74,3.69,VE,broken clouds
267,Farafangana,-22.8167,47.8333,65.66,91,9,5.55,MG,light rain
268,El Alto,-4.2714,-81.2147,65.55,78,14,19.28,PE,few clouds
269,Saint-Louis,16.3333,-15.0,82.42,61,99,10.8,SN,overcast clouds
270,Krasnoselkup,65.7,82.4667,47.57,70,0,18.34,RU,clear sky
271,Finspang,58.7058,15.7674,64.51,62,43,4.85,SE,scattered clouds
272,Kalmunai,7.4167,81.8167,78.22,83,100,5.26,LK,overcast clouds
273,Kulu,39.0951,33.0799,74.5,30,0,7.7,TR,clear sky
274,Sambava,-14.2667,50.1667,69.58,87,63,9.24,MG,light rain
275,Belmonte,-15.8631,-38.8828,74.5,91,0,10.58,BR,clear sky
276,Kopervik,59.2835,5.3067,61.12,83,100,16.73,NO,overcast clouds
277,Thinadhoo,0.5333,72.9333,77.29,89,100,15.26,MV,overcast clouds
278,Rabo De Peixe,37.8,-25.5833,71.11,83,20,5.75,PT,few clouds
279,Xapuri,-10.6517,-68.5044,85.32,40,1,0.34,BR,clear sky
280,Los Llanos De Aridane,28.6585,-17.9182,69.55,92,75,16.11,ES,broken clouds
281,Harbour Breton,47.4833,-55.7983,62.58,95,100,12.17,CA,overcast clouds
282,Piacabucu,-10.4056,-36.4344,74.57,88,29,8.68,BR,scattered clouds
283,Ampanihy,-24.7,44.75,68.52,71,84,2.84,MG,broken clouds
284,Uarini,-2.99,-65.1083,77.04,93,92,2.44,BR,overcast clouds
285,Ilhabela,-23.7781,-45.3581,61.7,76,27,5.1,BR,scattered clouds
286,Luderitz,-26.6481,15.1594,54.16,63,57,21.77,NA,broken clouds
287,Lastoursville,-0.8143,12.7287,78.15,63,96,4.61,GA,overcast clouds
288,Vestmannaeyjar,63.4427,-20.2734,50.79,78,73,16.84,IS,broken clouds
289,Axim,4.8699,-2.2405,74.68,83,65,10.87,GH,broken clouds
290,Kitui,-1.367,38.0106,62.76,77,84,7.92,KE,broken clouds
291,Carballo,43.213,-8.691,71.01,87,2,8.9,ES,clear sky
292,Frome,51.2283,-2.3221,68.2,85,98,7.05,GB,overcast clouds
293,Jammalamadugu,14.8333,78.4,83.1,69,93,5.01,IN,overcast clouds
294,Douentza,14.9951,-2.9517,86.58,49,26,6.8,ML,scattered clouds
295,Desna,50.9273,30.7605,70.86,68,27,9.64,UA,scattered clouds
296,San Andres,12.5847,-81.7006,84.22,79,75,11.5,CO,broken clouds
297,Husavik,66.0449,-17.3389,41.9,95,100,15.95,IS,overcast clouds
298,Paamiut,61.994,-49.6678,42.42,95,71,11.74,GL,broken clouds
299,Willowmore,-33.2926,23.4895,40.91,82,3,3.91,ZA,clear sky
300,Vila Do Maio,15.1333,-23.2167,78.51,78,98,10.38,CV,overcast clouds
301,Filadelfia,39.9523,-75.1638,90.09,39,40,10.36,US,scattered clouds
302,Winneba,5.3511,-0.6231,73.6,87,73,11.39,GH,broken clouds
303,Beira,-19.8436,34.8389,62.69,100,0,3.44,MZ,clear sky
304,Port Blair,11.6667,92.75,81.46,83,100,8.99,IN,overcast clouds
305,Mallow,52.1333,-8.6333,64.09,97,100,4.38,IE,overcast clouds
306,Semey,50.4111,80.2275,64.15,86,65,9.35,KZ,broken clouds
307,Bonfim,3.0833,-59.95,74.77,91,98,2.42,BR,overcast clouds
308,Maraa,-1.8333,-65.3667,77.27,88,64,1.41,BR,broken clouds
309,Montclair,40.8259,-74.209,89.31,39,40,11.5,US,scattered clouds
310,Roros,62.5747,11.3842,53.44,66,75,3.44,NO,broken clouds
311,Hualmay,-11.0964,-77.6139,64.54,78,21,9.95,PE,few clouds
312,Rawson,-43.3002,-65.1023,47.93,53,2,5.41,AR,clear sky
313,Bria,6.5423,21.9863,68.86,97,100,3.2,CF,overcast clouds
314,Macusani,-14.0833,-70.4333,50.67,32,35,1.95,PE,scattered clouds
315,Castro,-24.7911,-50.0119,50.23,64,3,3.83,BR,clear sky
316,Vilcun,-38.65,-72.2333,43.54,94,100,1.74,CL,overcast clouds
317,Tabou,4.423,-7.3528,74.59,80,32,7.76,CI,scattered clouds
318,Penzance,50.1186,-5.5371,63.28,94,96,16.53,GB,overcast clouds
319,Stromness,58.965,-3.296,53.87,83,62,4.0,GB,broken clouds
320,Monaco-Ville,43.731,7.4248,82.24,43,0,10.36,FR,clear sky
321,Promyshlennyy,67.5833,63.9167,48.16,73,31,5.1,RU,scattered clouds
322,Oirschot,51.505,5.3139,71.22,75,100,2.3,NL,overcast clouds
323,Seinajoki,62.7945,22.8282,55.24,87,0,2.3,FI,clear sky
324,Maragogi,-9.0122,-35.2225,76.51,86,100,9.06,BR,overcast clouds
325,Puerto Ayacucho,5.6639,-67.6236,79.77,81,65,3.74,VE,light rain
326,Barra Do Garcas,-15.89,-52.2567,77.38,33,0,4.83,BR,clear sky
327,San Felipe,10.3399,-68.7425,77.4,83,86,6.35,VE,overcast clouds
328,Khash,28.2211,61.2158,78.66,58,100,4.56,IR,overcast clouds
329,Partizanske,48.6286,18.3846,66.96,96,100,4.29,SK,overcast clouds
330,Yenagoa,4.9247,6.2642,73.51,93,100,4.16,NG,overcast clouds
331,Bayshore Gardens,27.4253,-82.5904,96.19,58,0,6.91,US,clear sky
332,Cascais,38.6979,-9.4215,77.5,54,1,8.99,PT,clear sky
333,Sur,22.5667,59.5289,84.78,68,51,8.72,OM,broken clouds
334,Ubinskoye,55.3068,79.6802,61.34,80,68,6.24,RU,broken clouds
335,Marawi,7.9986,124.2928,68.92,92,100,2.73,PH,overcast clouds
336,Bandarbeyla,9.4942,50.8122,75.29,86,12,30.13,SO,few clouds
337,Malaryta,51.7905,24.074,66.33,72,100,12.48,BY,light rain
338,Namibe,-15.1961,12.1522,61.74,88,77,4.23,AO,broken clouds
339,Gazanjyk,39.2446,55.5154,82.06,54,0,10.02,TM,clear sky
340,Itarema,-2.9248,-39.9167,78.8,79,82,13.58,BR,broken clouds
341,Bertoua,4.5833,13.6833,66.24,98,79,3.69,CM,broken clouds
342,Tshikapa,-6.4167,20.8,76.05,35,0,1.77,CD,clear sky
343,Alta Floresta,-9.8756,-56.0861,80.46,29,3,3.22,BR,clear sky
